F_total_int,F_total_ext,Q_total_int,Q_total_ext,P_mean_int,P_mean_ext,P_max_int,P_max_ext,P_sd_int,P_sd_ext,h_min_int,h_min_ext,h_mean_int,h_mean_ext,h_max_int,h_max_ext,h_sd_int,h_sd_ext
287838.8830687985,945935.7353916116,3.339602299361416e-05,0.0003642317693505,449124.8174558351,398135.5060630361,1017965.6991530054,1130617.3558896012,456415.190548893,509892.0460532659,4.489945675252371e-05,6.4266172831445e-05,4.6214696423285104e-05,6.990868277538085e-05,4.725688735983615e-05,7.409981975582852e-05,6.002686055661844e-07,2.2313592313785165e-06
197188.93530792845,409086.6376296256,6.543339355369215e-05,0.0001041316535311,301279.53691021324,163998.54336916958,688022.5396548145,337954.7176246231,305634.7217421962,155397.19524465318,6.310311725999334e-05,5.766970015942779e-05,6.399187440297456e-05,5.9139429176527085e-05,6.469618174230533e-05,6.0737752273689845e-05,4.0686882638966366e-07,6.12662162637715e-07
341738.9689737705,806614.989884283,3.073713097106969e-05,9.04650720022028e-05,527955.0328308602,315384.9004396682,1208691.9569931494,634806.3423598856,534284.7751075757,290693.0900313109,4.081811657400137e-05,4.168741847006569e-05,4.248827575283254e-05,4.4068816846849423e-05,4.367932439803826e-05,4.626052731965157e-05,7.19370683136641e-07,9.390172844358584e-07
223953.6715743437,523475.5441761225,2.7529126967692907e-05,8.26612198121769e-05,442724.4598189302,244052.92163208037,1372555.8281640017,791762.0598003968,529147.656659923,340058.9216625195,4.826346240609547e-05,4.658293491643899e-05,4.994724326490831e-05,4.96213629412026e-05,5.180649232817545e-05,5.239950583372264e-05,9.43271178701614e-07,1.3648726950800097e-06
122502.74640392016,486226.9290932562,9.594685748954948e-05,0.0005208766823438,188441.4260506469,234558.03097258572,429968.2219096156,642401.6624329638,191269.92958263488,274992.8643373623,8.511769109140312e-05,9.860705278362968e-05,8.569120540692136e-05,0.0001019254856737,8.615617826907739e-05,0.0001048733803205,2.4149421336082133e-07,1.3996472216776064e-06
630155.7531559475,1610100.553780079,4.342954309673079e-05,4.1676105325958064e-05,951240.1283819504,751638.2494430193,3527488.114610285,24208821.107218813,1204704.0960253626,1916706.012392209,2.1088154467093032e-05,1e-06,3.9148052918184725e-05,4.185764612305652e-05,5.1448059469190375e-05,0.0001197406330125,6.921995202727608e-06,2.5776168206282977e-05
86253.27648655445,573558.9959916312,4.669968975980016e-05,0.0004415542808418,160134.833559391,247885.25911895,377772.7470254128,769068.0577276559,179729.3973829501,339354.84703239147,5.815622085704461e-05,8.466373713267563e-05,5.876845305202689e-05,8.853866781700437e-05,5.9317323262165566e-05,9.20124832816332e-05,3.140469054257541e-07,1.6402424336631347e-06
321917.83215939574,914011.7473227424,3.898140297573896e-05,0.0001470292405712,653432.2748695804,411044.539066321,1654896.5516767802,907569.035094478,718351.9669593481,389676.1808016957,3.814829462923019e-05,5.13874599635758e-05,4.0845349808355465e-05,5.536813262687188e-05,4.295771135626668e-05,5.849057298897471e-05,1.3461780795946954e-06,1.6224115417621454e-06
391051.0472155544,877897.4661800525,2.1794807156141853e-05,8.317500743455097e-05,642575.2821788734,378431.8804683434,1770149.0361697597,756576.2791883253,754857.9243037332,367429.53204873495,3.3752593888917886e-05,3.117245594892873e-05,3.61389341524169e-05,3.473206229058002e-05,3.824084089988824e-05,3.7334095940065786e-05,1.226412206326932e-06,1.2916964338927148e-06
372616.5041708052,1120928.7703164853,3.449706978059156e-06,0.0001154541324384,781496.2267738951,451464.926445614,2884192.6890040687,916659.0171039024,1088660.7158760538,422816.2289347749,1.880414952664029e-05,3.876666761354326e-05,2.187534251259985e-05,4.330361923003187e-05,2.613796510926713e-05,4.6785637242587386e-05,2.1207247998359395e-06,1.7897673514832965e-06
253729.75085582264,686665.0268388642,3.908281157919073e-05,0.0003260148236527,433845.933831448,274610.48875594646,1071621.33473349,469428.60436577495,445573.3617440082,224369.23655561276,5.169313397324517e-05,5.8780115244819936e-05,5.30191649019342e-05,6.091791755032303e-05,5.423344670208869e-05,6.258240481480652e-05,6.502307621983577e-07,8.431825488936758e-07
467818.58271703625,1109852.8672299236,1.746482434415941e-05,6.344510640015983e-05,934419.6521988936,484807.6415902076,2826457.264582312,1390378.1417003844,1102893.7701033344,611463.6453089647,3.067126762429745e-05,3.040773234138601e-05,3.438755580696414e-05,3.738958409032949e-05,3.8113411784219176e-05,4.368370127713349e-05,1.9848178251153386e-06,2.748483384544173e-06
465562.12316621887,1087334.092227687,5.1191192538941406e-05,0.0001506038941942,887988.4145089111,443590.0216063905,2474070.5026664385,900307.8918935644,1033059.1415173034,414668.8725439549,4.434582550470105e-05,4.5417219157664295e-05,4.771776218499509e-05,4.915886345232402e-05,5.107987534156062e-05,5.319962174032056e-05,1.864419568730828e-06,1.4934302309116452e-06
234424.10833640708,532046.0125855186,5.088921721745734e-05,0.0001593221399758,449960.4769244967,217854.64272174987,1441189.8358763258,365663.3719045535,611584.4217696256,174355.10519456572,5.131903969724068e-05,5.000593606364425e-05,5.3141700761392055e-05,5.137877467836342e-05,5.5228608324173336e-05,5.25798028263574e-05,1.1354346339768656e-06,4.6391547700554483e-07
232426.15404734333,728179.1074212153,0.0001119936004874,0.0003890120687627,393159.9234559158,283074.401483481,797664.9650490638,570827.8129858762,385367.6564346497,260884.0567343756,5.7013933833137104e-05,7.042277336122564e-05,5.8186766033374654e-05,7.336901232215314e-05,5.9001948390425335e-05,7.527896272832936e-05,5.297965081862972e-07,1.0571736392194864e-06
179826.34006714608,441716.4814671117,3.911600779420586e-05,9.768578874564924e-05,433564.4031444404,191835.82515188312,1532042.349970056,504419.78972390335,581445.2721595739,226924.32818921472,5.493081174625182e-05,5.466080085299318e-05,5.683984786796145e-05,5.724234147201187e-05,5.9291523347864095e-05,5.976902525150861e-05,1.221534550046354e-06,1.1968655679019606e-06
158185.97271586646,459821.26953199366,3.917705308390412e-05,9.064384129950244e-05,291034.5222337661,197376.41526901568,707616.7122476696,555560.7883546132,335110.70556233305,247630.71391905044,4.569244535098532e-05,5.10418840355759e-05,4.6765797176255776e-05,5.334402425968209e-05,4.773581309835363e-05,5.522641932640951e-05,5.703912485452875e-07,9.195706644532596e-07
495450.2823875737,1040365.5370083788,6.674549494740575e-05,6.523858539390375e-05,811040.4020425323,489357.0841675926,1591505.8712852702,1346362.2285005029,764447.9658694731,628750.0515009449,3.588508906027093e-05,2.6401908539196323e-05,3.834063336591727e-05,3.1731900537111866e-05,3.980255879345968e-05,3.712245154796488e-05,9.998982296830368e-07,2.608618195546488e-06
388985.8403308771,1143881.2281991658,1.304037578077358e-06,0.0001528914139193,864699.9172538146,480532.63717635634,2966229.267771282,1017437.1658205596,1134020.139503146,492741.73435836704,1.5046370077964294e-05,3.336898404575974e-05,1.8665192391394545e-05,3.8911188482508776e-05,2.3371857568625355e-05,4.2983778591956205e-05,2.3912608193491734e-06,2.1872086998498577e-06
392471.6348004771,939381.912570489,2.616872335032457e-05,0.0001507392538411,632005.8250655241,440774.11959286383,1483523.7056463417,1164549.0021273906,665457.8688873886,546837.5907634371,3.431677096426183e-05,3.5088704566194755e-05,3.641710690272085e-05,4.0413583051786296e-05,3.815301863200845e-05,4.408283545197394e-05,9.96593097368859e-07,2.218121693518354e-06
427055.1626373729,818837.3590991941,6.589643264108071e-05,8.782769607930922e-05,717896.6126814389,353310.89694054885,1538357.5922209758,757343.7839011113,695505.372082857,360498.14810883976,4.742073442888917e-05,3.302447071644971e-05,4.985008125835546e-05,3.659627167882891e-05,5.162169394663836e-05,3.931102586562023e-05,1.051424976422905e-06,1.27915077641807e-06
270719.23997678456,878507.8634948822,4.521174748550836e-05,0.0004161346136501,503212.1624077596,368497.1131633026,1341427.5444831632,994867.9740202876,538729.5370074562,454289.2991258975,5.274149484848357e-05,7.03167510296267e-05,5.447882763511999e-05,7.52238503260468e-05,5.607623290513902e-05,7.94227013143757e-05,8.552174543235642e-07,1.891769593672026e-06
319861.5775279801,733401.6694253492,6.109610032905463e-05,0.0001294860352243,498593.6226548933,382361.24688714807,903010.617231596,1025293.7695786508,418429.11176190857,457345.0953628444,4.530739964521297e-05,4.240059901965074e-05,4.657240673551317e-05,4.7385843278217466e-05,4.735070318473796e-05,5.1647336484233694e-05,4.158554603946485e-07,2.163755658497896e-06
459907.9822453674,1101875.8138178487,2.918046280068241e-05,4.622521720931944e-05,743266.0554252209,536541.8654004482,1347411.6225935232,1817299.1117478143,640255.8535716436,727372.1979773728,2.866895336570988e-05,2.764233781343016e-05,3.094921009963659e-05,3.673020967723975e-05,3.216822971641734e-05,4.660579234061994e-05,7.199003256126536e-07,4.226155898669717e-06
166165.10863088263,444305.95697497216,3.417517129756187e-05,9.873307597207632e-05,308097.6981831849,174126.01176991675,953361.2290266202,387421.4728542856,408155.9937028351,176591.0327978772,4.94864517800041e-05,5.250525575033679e-05,5.073075966692959e-05,5.431024815101258e-05,5.21261175628555e-05,5.599927110126526e-05,7.508166621157936e-07,7.811557695312636e-07
270821.6015390491,438159.6790826144,0.00019358534079,0.0001447147791215,450641.8622897016,192720.75085524248,995740.9127135284,739059.2711669294,452714.7702483206,304042.09591850097,7.792296945590016e-05,6.04655947184616e-05,7.946083170015821e-05,6.331199281436287e-05,8.053158650531716e-05,6.665637867629936e-05,6.58919024490812e-07,1.4287869311256505e-06
318161.8482773497,1135902.1915107728,1.824867468147699e-05,0.000425018366913,630125.2892950354,516410.02542153024,1932047.505734948,1092427.672243976,752719.8718481193,478977.7673032189,3.59225065135153e-05,6.678521415701237e-05,3.827570002106568e-05,7.288091393818564e-05,4.081950475276764e-05,7.669346772224739e-05,1.341802013717161e-06,2.2083189924899645e-06
192424.2320084019,433391.3289668665,0.0001220640297355,0.0004587166110909,356440.91562032304,177526.27592925972,1272669.7770801948,298962.95918265986,528842.5411080596,141967.30549436502,7.926028162758526e-05,7.755568319285595e-05,8.069647354423388e-05,7.856855554364506e-05,8.261321996107236e-05,7.954040470428186e-05,9.91875483961192e-07,3.336492013022025e-07
274447.8506491142,786318.8863419754,2.1722949060428858e-05,0.0001478992472941,521946.4033609856,325254.71760067943,1826413.3844366812,846100.8288856979,753618.316394239,381378.6745853901,3.829181063276299e-05,4.881204980874465e-05,4.035699210654589e-05,5.256912186005926e-05,4.293386533713813e-05,5.544194670709629e-05,1.3635526896124831e-06,1.4831441570161366e-06
399693.8551615454,887795.2049188076,3.1849869540832803e-05,7.108210333623248e-05,760720.1171211511,422925.157770007,1856436.6979588289,1126785.1711738154,870242.7626062653,529899.5413928872,3.054179811283302e-05,2.659783284576788e-05,3.355324719038173e-05,3.136020425324989e-05,3.6202102698056646e-05,3.53772436082127e-05,1.5421652692999968e-06,2.1451316296745307e-06
381338.79137610295,918706.0535762644,2.7430479664995155e-05,0.0001092967590345,595782.1206440113,445326.03190166585,1379025.7938791644,1563364.3239925029,604900.514867582,651690.7829958331,3.848474274206746e-05,3.896623079583352e-05,4.0330103206014056e-05,4.4861908665729584e-05,4.176061051360188e-05,4.957002302877673e-05,8.430059699625243e-07,2.640678636230293e-06
292716.3486013548,837455.5434720174,7.326250575116446e-05,0.0004387122096321,433021.150677983,345569.55961399863,971813.7504411704,974774.8352185788,425148.6102966178,425775.37127834215,5.573247176555184e-05,6.628741069381137e-05,5.695670020487232e-05,7.048917139310016e-05,5.790095938408933e-05,7.363848568000606e-05,5.156756327745617e-07,1.7003607989746484e-06
164975.30644030124,477705.76070408337,6.793807229144154e-05,0.0002894187317209,313439.074836548,195669.0773239981,964657.8660054264,575569.8217096914,389999.5371343411,258765.8292328749,7.231527789921697e-05,7.773836512374719e-05,7.345301060534782e-05,8.005614786914737e-05,7.471165215602879e-05,8.181380177140003e-05,6.658250699333655e-07,9.261929226791184e-07
