Peso;elastic_energy;CO2;p1_x;p1_y;p1_z;p1_T;p2_x;p2_y;p2_z;p2_T;p3_x;p3_y;p3_z;p3_T;p4_x;p4_y;p4_z;p4_T;p5_x;p5_y;p5_z;p5_T
36902,905303435175;27,25826577514503;95947,55378893146;1,6554208153349396e-05;4,57431972840318e-05;1,094866854786248e-05;0,0;-3,197962577268043e-05;4,724825417489911e-05;-0,00011885242905746571;0,0;-5,0233072258761933e-05;-1,2030089118013427e-08;-0,0002076311555834847;0,0;-3,205645964168408e-05;-4,725892963686611e-05;-0,0001187156436673889;0,0;-7,402425966717454e-06;-4,5701814375552937e-05;1,0965856510650303e-05;0,0
36199,44162118165;26,30401617306852;94118,5482150723;1,4769553328824283e-05;4,4321872273071e-05;9,08946147310285e-06;0,0;-2,6275832070999983e-05;4,4095954986128375e-05;-0,00011491941675755775;0,0;-3,471425822740181e-05;-8,637538615609359e-08;-0,00019323894921734736;0,0;-2,645332438174246e-05;-4,420437946923117e-05;-0,00011511046821503134;0,0;-9,454919486729835e-06;-4,4609547840317855e-05;9,25553972933632e-06;0,0
38512,14528618924;28,779473595399995;100131,57774409202;1,2507752638465822e-05;3,5192601478318274e-05;1,1216203512969828e-05;0,0;-2,4279507215235547e-05;4,0414916012969276e-05;-0,00011824245474007474;0,0;-3,397243139892015e-05;-7,815777161397405e-08;-0,00021522071643587296;0,0;-2,4278191722399906e-05;-4,043469467873018e-05;-0,00011782725920800824;0,0;-9,03297992318125e-06;-3,512655804363009e-05;1,129389119661778e-05;0,0
44647,87799567773;34,41524904981959;116084,48278876209;1,6165158259797772e-05;4,6637736608085747e-05;7,425986906618561e-06;0,0;-1,330797348457312e-05;4,7001804007897375e-05;-0,0001423754546348205;0,0;-2,0641258384224835e-05;-6,104866723332793e-08;-0,00024746738130761864;0,0;-1,3541012961106475e-05;-4,682517926118812e-05;-0,00014123315727040015;0,0;-6,109320595117565e-06;-4,624718178395926e-05;7,630299055158807e-06;0,0
31795,773545597527;28,541178690639292;82669,01121855357;1,5228559355055044e-05;4,365937311672353e-05;8,665086170616587e-06;0,0;-3,306434525849574e-05;4,5059671497309515e-05;-0,0001411778861095312;0,0;-5,014442969431678e-05;2,2472418297191246e-08;-0,0002476342923929122;0,0;-3,349197153807357e-05;-4,498569792614823e-05;-0,00014112868774919006;0,0;-7,5900287308382424e-06;-4,3796547295291754e-05;9,210233250610283e-06;0,0
50119,93447860885;28,73079364127546;130311,829644383;1,423708909496102e-05;4,2547486077895996e-05;9,308103398066533e-06;0,0;-2,027922086295153e-05;4,128174291113049e-05;-0,00010111160860372102;0,0;-2,676818045019807e-05;1,1189256418196838e-07;-0,0001692522999297413;0,0;-1,993060275128542e-05;-4,1124281686681685e-05;-0,00010155954304247514;0,0;-8,113733059582575e-06;-4,236389862809164e-05;8,608826408891358e-06;0,0
34893,10193720697;30,182493623125477;90722,06503673813;1,4730733588948042e-05;4,285136319093254e-05;9,672221833649587e-06;0,0;-2,333368331567751e-05;4,658297427663944e-05;-0,00013185808445594562;0,0;-3,38556335145039e-05;-7,936805598770627e-08;-0,00022387474357154607;0,0;-2,330014283252446e-05;-4,66712982986784e-05;-0,00013116214641125363;0,0;-8,675219161934947e-06;-4,276708752235606e-05;9,98781533797056e-06;0,0
33400,97584044646;25,14894863567631;86842,53718516079;1,6553217426291597e-05;4,9157521913525314e-05;1,1847702636929209e-05;0,0;-4,57740500955617e-05;4,882847358576078e-05;-0,00011825382463883594;0,0;-7,062473199100676e-05;-1,0757079933359895e-07;-0,00020574312045426618;0,0;-4,588538763129701e-05;-4,8624226989664506e-05;-0,00011796185336869874;0,0;-1,1253856032497336e-05;-4,886358957924907e-05;1,1449857494881682e-05;0,0
37212,40974506912;30,53248709204907;96752,2653371797;1,535973853294716e-05;3,992097846555363e-05;1,1310169175272044e-05;0,0;-3,336480035303261e-05;4,755597364995572e-05;-0,00013119092697508043;0,0;-5,731540055159982e-05;-1,4669565689408563e-08;-0,00024122043416790966;0,0;-3,304240883593363e-05;-4,7205257202931194e-05;-0,00013046404545601013;0,0;-4,742501729797572e-06;-3,912429297825185e-05;1,0268519502805893e-05;0,0
39250,85232425691;24,994009778226896;102052,21604306798;1,4091227380443517e-05;4,260921600470715e-05;7,881018467925161e-06;0,0;-1,8359258745548416e-05;4,0432969454752805e-05;-0,00010523824852576386;0,0;-2,3470860591230677e-05;-2,4709416464551405e-08;-0,00017613844347417066;0,0;-1,9341009106665254e-05;-4,05296534593751e-05;-0,00010522560559865175;0,0;-1,0493383208974441e-05;-4,30632020859442e-05;9,105862163643946e-06;0,0
